name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Jagged	100	1	1	1	24	1				150	111	dmg%		10	20										weap							orb	wand				0	0
Deadly	100	1	1	5	34	3				150	111	dmg%		21	30										weap							orb	wand				0	0
Vicious	100	1	1	8	44	6				150	111	dmg%		31	40									lgry	weap							orb	wand				0	0
Brutal	100	1	1	14	53	10				150	111	dmg%		41	50									lgry	weap							orb	wand				0	0
Massive	100	1	1	20	64	15				150	111	dmg%		51	65									dgry	weap							orb	wand				0	0
Savage	100	1	1	26	72	19				150	111	dmg%		66	80									dgry	weap							orb	wand				0	0
Heartless1	100	1	1	32	80	24				150	111	dmg%		81	100									dgry	weap							orb	wand				0	0
Merciless	100	1	1	41		30				150	111	dmg%		101	125									dgry	weap							orb	wand				0	0
Merciless	100	1	1	49		38				150	111	dmg%		126	150									blac	weap							orb	wand				0	0
Ferocious	100	1	1	56		45				114	111	dmg%		151	200									blac	weap							orb	wand				0	0
Ferocious	100	1	1	61		51				114	111	dmg%		210	233									blac	weap							orb	wand				0	0
Cruel	100	1	1	69		63				114	111	dmg%		234	266									blac	weap							orb	wand				0	0
Cruel	100	1	1	74		69				114	111	dmg%		267	300									blac	weap							orb	wand				0	0
Jagged	100	1	1	21		16				26	105	dmg%		10	15										circ												0	0
Deadly	100	1	1	45		41				26	105	dmg%		16	25										circ												0	0
Vicious	100	1	1	70		64				24	105	dmg%		26	40										circ												0	0
Cinnabar	100	1	1	1	40	1				10	105	dmg%		5	10									dred	jewl												0	0
Rusty	100	1	1	13	80	9				10	105	dmg%		11	20									dred	jewl												0	0
Realgar	100	1	1	45		37				10	105	dmg%		21	30									dred	jewl												0	0
Ruby	100	1	1	66		58				10	105	dmg%		31	40									dred	jewl												0	0
Jagged	100	1	1	7		5				10	104	dmg%		3	5									blac	lcha												0	0
Forked	100	1	1	37		29				10	104	dmg%		6	15									blac	lcha												0	0
Serrated	100	1	1	67		59				10	104	dmg%		16	25									blac	lcha												0	0
Jagged	100	1	1	22		16				10	104	dmg%		5	12									blac	mcha												0	0
Forked	100	1	1	52		44				10	104	dmg%		13	20									blac	mcha												0	0
Jagged	100	1	1	81		73				10	104	dmg%		5	15									blac	scha												0	0
Paradox's1	100	1	1	20		18				2	111	dmg%/lvl	8											whit	weap							orb	wand				0	0
Paradox's1	100	1	1	35		35				2	111	dmg%/lvl	12											whit	weap							orb	wand				0	0
Paradox's1	100	1	1	55		49				2	111	dmg%/lvl	16											whit	weap							orb	wand				0	0
Paradox's1	100	1	1	70		66				2	111	dmg%/lvl	24											whit	weap							orb	wand				0	0
Paradox's1	100	1	1	85		77				2	111	dmg%/lvl	32											whit	weap							orb	wand				0	0
Sharp	100	1	1	5	20	3				4	111	att		10	20	dmg%		10	20						weap							orb	wand				0	0
Sharp1	100	1	1	5	20	3				2	111	deadly		1	3	dmg%		10	20						weap							orb	wand				0	0
Sharp2	100	1	1	5	20	3				2	111	crush		1	3	dmg%		10	20						weap							orb	wand				0	0
Sharp3	100	1	1	5	20	3				2	111	openwounds		5	7	dmg%		10	20						weap							orb	wand				0	0
Fine	100	1	1	12	30	9				4	111	att		21	40	dmg%		21	30						weap							orb	wand				0	0
Fine1	100	1	1	12	30	9				2	111	deadly		2	5	dmg%		21	30						weap							orb	wand				0	0
Fine2	100	1	1	12	30	9				2	111	crush		2	5	dmg%		21	30						weap							orb	wand				0	0
Fine3	100	1	1	12	30	9				2	111	openwounds		8	10	dmg%		21	30						weap							orb	wand				0	0
Mastersmith's1	100	1	1	19	40	13				4	111	att		41	60	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's2	100	1	1	19	40	13				2	111	deadly		3	6	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's3	100	1	1	19	40	13				2	111	crush		3	6	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's4	100	1	1	19	40	13				2	111	openwounds		11	16	dmg%		31	40						weap							orb	wand				0	0
Warrior's	100	1	1	27	50	19				4	111	att		61	80	dmg%		41	50						weap							orb	wand				0	0
Warrior's1	100	1	1	27	50	19				2	111	deadly		4	8	dmg%		41	50						weap							orb	wand				0	0
Warrior's2	100	1	1	27	50	19				2	111	crush		4	8	dmg%		41	50						weap							orb	wand				0	0
Warrior's3	100	1	1	27	50	19				2	111	openwounds		17	21	dmg%		41	50						weap							orb	wand				0	0
Soldier's	100	1	1	38	60	30				4	111	att		81	100	dmg%		51	65						weap							orb	wand				0	0
Soldier's1	100	1	1	38	60	30				2	111	deadly		5	10	dmg%		51	65						weap							orb	wand				0	0
Soldier's2	100	1	1	38	60	30				2	111	crush		5	10	dmg%		51	65						weap							orb	wand				0	0
Soldier's3	100	1	1	38	60	30				2	111	openwounds		22	28	dmg%		51	65						weap							orb	wand				0	0
Crusader's1	100	1	1	45	70	37				4	111	att		101	125	dmg%		66	80					lgld	weap							orb	wand				0	0
Crusader's2	100	1	1	45	70	37				2	111	deadly		6	12	dmg%		66	80					lgld	weap							orb	wand				0	0
