Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Defense1	100	1	1	12		8				60	61	ac		5	10										ring	amul											0	0
of Defense1	100	1	1	33		27				60	61	ac		11	25										ring	amul											0	0
of Guarding1	100	1	1	51		46				60	61	ac		26	50										ring	amul											0	0
of Craftsmanship	100	1	1	1	55	1				96	14	dmg-max		1	2										amul	ring											0	0
of Craftsmanship	100	1	1	22		19				96	14	dmg-max		3	4										amul	ring											0	0
of Quality	100	1	1	53		49				96	14	dmg-max		5	7										amul	ring											0	0
of Quality	100	1	1	77		61				96	14	dmg-max		8	10										amul	ring											0	0
of Craftsmanship	100	1	1	1	20	1				192	14	dmg-max		1	2										weap							wand	orb				0	0
of Quality	100	1	1	4	30	3				192	14	dmg-max		3	4										weap							wand	orb				0	0
of Maiming	100	1	1	7	40	5				192	14	dmg-max		5	6										weap							wand	orb				0	0
of Slaying	100	1	1	11	55	8				192	14	dmg-max		7	8										weap							wand	orb				0	0
of Gore	100	1	1	14	65	10				192	14	dmg-max		9	10										weap							wand	orb				0	0
of Carnage	100	1	1	19	80	14				176	14	dmg-max		11	14									blac	weap							wand	orb				0	0
of Slaughter	100	1	1	25		18				168	14	dmg-max		15	20									blac	weap							wand	orb				0	0
of Butchery	100	1	1	35		27				160	14	dmg-max		21	40									blac	weap							wand	orb				0	0
of Evisceration	100	1	1	45		37				144	14	dmg-max		41	63									blac	weap							wand	orb				0	0
of Evisceration	100	1	1	60		50				128	14	dmg-max		64	80									blac	weap							wand	staf	orb			0	0
of Evisceration	100	1	1	73		65				112	14	dmg-max		81	100									blac	weap							wand	staf	orb			0	0
of Evisceration	100	1	1	85		79				88	14	dmg-max		101	120									blac	weap							wand	staf	orb			0	0
of Maiming	100	1	1	42		34				48	14	dmg-max		1	4										shld												0	0
of Maiming	100	1	1	65		51				36	14	dmg-max		5	8										shld												0	0
of Maiming	100	1	1	80		68				36	14	dmg-max		9	12										shld												0	0
of Craftsmanship	100	1	1	1	7	1				48	14	dmg-max		1	2										circ												0	0
of Craftsmanship	100	1	1	12	14	10				48	14	dmg-max		2	3										circ												0	0
of Craftsmanship	100	1	1	24	29	22				48	14	dmg-max		4	5										circ												0	0
of Quality	100	1	1	37		35				48	14	dmg-max		6	7										circ												0	0
of Quality	100	1	1	48		46				48	14	dmg-max		8	9										circ												0	0
of Maiming	100	1	1	66		62				48	14	dmg-max		10	12										circ												0	0
of Maiming	100	1	1	79		74				48	14	dmg-max		13	15										circ												0	0
of Craftsmanship	100	1	1	8	17	6				48	14	dmg-max		1	1										mcha												0	0
of Craftsmanship	100	1	1	18	37	13				48	14	dmg-max		2	2										mcha												0	0
of Quality	100	1	1	28		21				48	14	dmg-max		3	4										mcha												0	0
of Quality	100	1	1	38		30				48	14	dmg-max		5	6										mcha												0	0
of Maiming	100	1	1	48		40				48	14	dmg-max		7	8										mcha												0	0
of Craftsmanship	100	1	1	21		15				48	14	dmg-max		1	1										scha												0	0
of Quality	100	1	1	36		28				48	14	dmg-max		2	2										scha												0	0
of Maiming	100	1	1	51		43				48	14	dmg-max		3	3										scha												0	0
of Ire	100	1	1	4		3				48	14	dmg-max		2	5										jewl												0	0
of Wrath	100	1	1	16		11				48	14	dmg-max		6	9									blac	jewl												0	0
of Carnage	100	1	1	35		30				48	14	dmg-max		10	15									blac	jewl												0	0
of Carnage	100	1	1	67		55				48	14	dmg-max		16	20									blac	jewl												0	0
of Worth	100	1	1	1	20	1				96	15	dmg-min		1	2										weap							orb	wand				0	0
of Measure	100	1	1	12	30	9				84	15	dmg-min		3	4										weap							orb	wand				0	0
of Excellence	100	1	1	24	45	18				72	15	dmg-min		5	8										weap							orb	wand				0	0
of Performance	100	1	1	48	55	40				60	15	dmg-min		9	14									blac	weap							orb	wand				0	0
of Transcendence	100	1	1	76	65	68				48	15	dmg-min		15	20									blac	weap							orb	wand				0	0
of Transcendence	100	1	1	82		75				36	15	dmg-min		30	40									blac	weap							orb	wand				0	0
of Transcendence	100	1	1	85		83				24	15	dmg-min		50	60									blac	weap							orb	wand				0	0
of Worth	100	1	1	15		11				32	15	dmg-min		2	3										ring	amul	circ										0	0
of Measure	100	1	1	37		29				32	15	dmg-min		4	5										ring	amul	circ										0	0
of Excellence	100	1	1	59		51				32	15	dmg-min		6	9										ring	amul	circ										0	0
of Performance	100	1	1	81		73				32	15	dmg-min		10	13										ring	amul	circ										0	0
of Joyfulness	100	1	1	5	50	3				32	15	dmg-min		1	4									whit	jewl												0	0
of Bliss	100	1	1	43		37				32	15	dmg-min		5	10									whit	jewl												0	0
of Frost	100	1	1	4	35	3				60	10	cold-min		1	1	cold-max		1	2	cold-len		50	50		weap							wand	orb				0	0
of the Icicle	100	1	1	13	50	9				48	10	cold-min		1	1	cold-max		3	4	cold-len		75	75		weap							wand	orb				0	0
of the Glacier	100	1	1	27	70	20				36	10	cold-min		2	4	cold-max		4	15	cold-len		100	100	dblu	weap							wand	orb				0	0
of Winter	100	1	1	45		37				24	10	cold-min		5	9	cold-max		16	50	cold-len		150	150	dblu	weap							wand	orb				0	0
of Winter	100	1	1	60		50				12	10	cold-min		20	30	cold-max		75	100	cold-len		150	150	dblu	weap							wand	orb				0	0
of Winter	100	1	1	80		75				12	10	cold-min		35	45	cold-max		100	150	cold-len		150	150	dblu	weap							wand	orb				0	0
of Frost	100	1	1	55		41				24	10	cold-min		1	1	cold-max		3	6	cold-len		75	75	dblu	belt	amul											0	0
of Frigidity	100	1	1	65		55				24	10	cold-min		1	1	cold-max		7	10	cold-len		100	100	dblu	belt	amul											0	0
of the Icicle	100	1	1	75		68				24	10	cold-min		2	3	cold-max		11	15	cold-len		125	125	dblu	belt	amul											0	0
of the Glacier	100	1	1	85		81				24	10	cold-min		4	5	cold-max		16	25	cold-len		150	150	dblu	belt	amul											0	0
of Frigidity	100	1	1	16		12				24	10	cold-min		1	1	cold-max		3	5	cold-len		50	50	dblu	jewl												0	0
of the Icicle	100	1	1	37		29				24	10	cold-min		2	3	cold-max		6	10	cold-len		75	75	dblu	jewl												0	0
of the Glacier	100	1	1	58		50				24	10	cold-min		4	5	cold-max		11	15	cold-len		100	100	dblu	jewl												0	0
of Frost	100	1	1	5		3				24	10	cold-min		1	1	cold-max		2	2	cold-len		25	25		lcha												0	0
of the Icicle	100	1	1	8		6				12	10	cold-min		2	2	cold-max		3	4	cold-len		25	25		lcha												0	0
of the Glacier	100	1	1	15		11				12	10	cold-min		3	3	cold-max		5	7	cold-len		25	25	dblu	lcha												0	0
of Winter	100	1	1	23		17				12	10	cold-min		4	6	cold-max		8	11	cold-len		25	25	dblu	lcha												0	0
of Frost	100	1	1	9		6				24	10	cold-min		1	1	cold-max		2	3	cold-len		25	25		mcha												0	0
of the Icicle	100	1	1	15		11				12	10	cold-min		2	2	cold-max		4	5	cold-len		25	25		mcha												0	0
of the Glacier	100	1	1	25		18				12	10	cold-min		3	3	cold-max		6	8	cold-len		25	25	dblu	mcha												0	0
of Winter	100	1	1	35		27				12	10	cold-min		4	6	cold-max		9	12	cold-len		25	25	dblu	mcha												0	0
of Frost	100	1	1	14		10				24	10	cold-min		1	1	cold-max		2	2	cold-len		25	25		scha												0	0
of the Icicle	100	1	1	21		15				12	10	cold-min		2	2	cold-max		3	4	cold-len		25	25		scha												0	0
of the Glacier	100	1	1	33		25				12	10	cold-min		3	3	cold-max		5	6	cold-len		25	25	dblu	scha												0	0
of Winter	100	1	1	46		38				12	10	cold-min		4	5	cold-max		7	9	cold-len		25	25	dblu	scha												0	0
of Flame	100	1	1	4	35	3				60	12	fire-min		1	1	fire-max		2	5						weap							wand	orb				0	0
of Fire	100	1	1	15	50	11				48	12	fire-min		1	4	fire-max		6	11						weap							wand	orb				0	0
of Burning	100	1	1	25	70	18				36	12	fire-min		5	9	fire-max		10	20					dred	weap							wand	orb				0	0
of Incineration	100	1	1	43		35				24	12	fire-min		10	20	fire-max		21	75					dred	weap							wand	orb				0	0
of Incineration	100	1	1	60		50				12	12	fire-min		40	60	fire-max		170	200					dred	weap							wand	orb				0	0
of Incineration	100	1	1	80		75				12	12	fire-min		75	100	fire-max		200	250					dred	weap							wand	orb				0	0
of Flame	100	1	1	40		30				24	12	fire-min		1	1	fire-max		2	5					dred	glov	ring	amul										0	0
of Passion	100	1	1	55		51				24	12	fire-min		1	3	fire-max		6	10					dred	glov	ring	amul										0	0
of Fire	100	1	1	65		62				24	12	fire-min		4	10	fire-max		11	30					dred	glov	ring	amul										0	0
of Burning	100	1	1	80		77				24	12	fire-min		11	25	fire-max		31	50					dred	glov	ring	amul										0	0
of Passion	100	1	1	15		11				24	12	fire-min		1	3	fire-max		6	10					dred	jewl												0	0
