npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									5000	50000	100000
charsi	512	960	128	4	1024	922	1024									5000	50000	100000
akara	512	1024	128	4	1024	922	1024									5000	50000	100000
lysander	512	1024	128	9	1024	922	1024									10000	50000	100000
drognan	512	1024	128	9	1024	922	1024									10000	50000	100000
elzix	512	1024	128	9	1024	922	1024									10000	50000	100000
fara	512	1024	128	9	1024	922	1024									10000	50000	100000
hratli	512	1024	128	17	1024	922	1024									15000	50000	100000
alkor	512	1024	128	17	1024	922	1024									15000	50000	100000
ormus	512	1024	128	17	1024	922	1024									15000	50000	100000
asheara	512	1024	128	17	1024	922	1024									20000	50000	100000
jamella	512	1024	128													20000	50000	100000
halbu	512	1024	128													20000	50000	100000
malah	512	2048	128	35	1024	512	1024									25000	50000	100000
drehya	512	2048	128	35	1024	512	1024									25000	50000	100000
larzuk	512	2048	128	35	1024	512	1024									25000	50000	100000
nihlathak	512	2048	128	35	1024	512	1024									25000	50000	100000
