Name	*Rune Name	complete	server	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword1	Ancient's Pledge	1			shld									RalOrtTal	r08	r09	r07				res-cold		30	30	res-all		13	13	ac%		50	50	dmg-to-mana		10	10													0
Runeword6	Black	1			club	hamm	mace							ThulIoNef	r10	r16	r04				crush		40	40	dmg%		120	120	swing2		15	15	red-mag		2	2	att		200	200	charged	74	12	4					0
Runeword44	Fury	1			mele									JahGulEth	r31	r25	r05				dmg%		209	209	swing2		40	40	noheal		1	1	openwounds		66	66	lifesteal		6	6	deadly		33	33	skill	147	5	5	0
Runeword54	Holy Thunder	1			scep									EthRalOrtTal	r05	r08	r09	r07			dmg%		60	60	dmg-ltng		20	60	dmg-max		10	10	res-ltng		60	60	res-ltng-max		5	5	skill	118	3	3	charged	53	60	7	0
Runeword55	Honor	1			mele									AmnElIthTirSol	r11	r01	r06	r03	r12		dmg%		160	160	regen		10	10	allskills		1	1	att		200	200	deadly		25	25	str		10	10					0
Runeword65	King's Grace	1			swor	scep								AmnRalThul	r11	r08	r10				dmg%		100	100	att		150	150	dmg-demon		100	100	dmg-undead		50	50	att-demon		100	100	att-undead		100	100					0
Runeword72	Leaf	1			staf									TirRal	r03	r08					fireskill		3	3	ac/lvl		16	16	res-cold		33	33	skill	41	3	3	skill	36	3	3	skill	37	3	3					0
Runeword74	Lionheart	1			tors									HelLumFal	r15	r17	r19				str		15	15	vit		20	20	dex		15	15	dmg%		20	20	hp		50	50	res-all		30	30					0
Runeword75	Lore	1			helm									OrtSol	r09	r12					enr		10	10	allskills		1	1	light		2	2	mana-kill		2	2													0
Runeword81	Malice	1			mele									IthElEth	r06	r01	r05				openwounds		100	100	dmg-ac		-100	-100	noheal		1	1	dmg%		33	33	light		-1	-1	regen		-5	-5					0
Runeword82	Melody	1			miss									ShaelKoNef	r13	r18	r04				dmg%		50	50	skilltab	0	3	3	skill	9	3	3	skill	13	3	3	skill	17	3	3	dmg-undead		300	300					0
Runeword83	Memory	1			staf									LumIoSolEth	r17	r16	r12	r05			mana%		20	20	red-mag		7	7	ac%		50	50	cast2		33	33	sor		3	3	skill	58	3	3	skill	42	2	2	0
Runeword88	Nadir	1			helm									NefTir	r04	r03					ac%		50	50	ac		10	10	light		-3	-3	charged	264	9	13	gold%		-33	-33	str		5	5					0
Runeword116	Radiance	1			helm									NefSolIth	r04	r12	r06				light		5	5	enr		10	10	vit		10	10	red-mag		3	3	mana		33	33	ac%		75	75					0
Runeword120	Rhyme	1			shld									ShaelEth	r13	r05					block2		20	20	block		20	20	res-all		25	25	nofreeze		1	1	gold%		50	50	mag%		25	25					0
Runeword126	Silence	1			weap									DolEldHelIstTirVex	r14	r02	r15	r24	r03	r26	manasteal		4	4	stupidity		33	33	dmg%		200	200	swing2		20	20	res-all		75	75	allskills		2	2	balance2		20	20	0
Runeword128	Smoke	1			tors									NefLum	r04	r17					ac-miss		250	250	ac%		75	75	res-all		50	50	balance2		20	20	light		-1	-1	charged	72	18	6					0
Runeword133	Stealth	1			tors									TalEth	r07	r05					red-mag		3	3	dex		6	6	stam		15	15	move2		25	25	cast2		25	25	balance2		25	25					0
Runeword134	Steel	1			swor	axe	mace							TirEl	r03	r01					swing2		25	25	dmg-min		3	3	dmg-max		3	3	openwounds		50	50	dmg%		20	20									0
Runeword139	Strength	1			mele									AmnTir	r11	r03					str		20	20	dmg%		35	35	vit		10	10	crush		25	25													0
Runeword154	Venom	1			weap									TalDolMal	r07	r14	r23				dmg-pois	175	312	312	ignore-ac		1	1	charged	83	27	15	charged	92	11	13	manasteal		7	7									0
Runeword160	Wealth	1			tors									LemKoTir	r20	r18	r03				gold%		250	250	mag%		100	100																					0
Runeword162	White	1			wand									DolIo	r14	r16					skilltab	7	3	3	red-mag		4	4	cast2		20	20	mana		13	13	skill	68	3	3	skill	84	2	2	skill	69	4	4	0
Runeword170	Zephyr	1			miss									OrtEth	r09	r05					move2		25	25	swing2		25	25	dmg%		33	33	att		66	66	gethit-skill	240	7	1	ac		25	25					0
Runeword14	Bound by Duty	1			tors									DolUmBerIst	r14	r22	r30	r24			res-all		50	50	ac%		70	70	dmg-demon		200	200	dmg-undead		100	100	lifesteal		8	8	allskills		2	2	str		20	20	0
Runeword9	Bramble	1			tors									RalOhmSurEth	r08	r27	r29	r05			balance2		50	50	ac		300	300	aura	Thorns	15	21	heal-kill		13	13	extra-pois		25	50	res-pois		100	100	charged	Spirit of Barbs	33	13	0
Runeword11	Breath of the Dying	1			weap									VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	swing2		60	60	dmg-undead		125	125	lifesteal		12	15	noheal		1	1	kill-skill	Poison Nova	50	20	dmg%		350	400	all-stats		30	30	0
Runeword13	Call to Arms	1			weap									AmnRalMalIstOhm	r11	r08	r23	r24	r27		swing2		40	40	dmg%		200	240	allskills		1	1	oskill	Battle Command	2	6	oskill	Battle Orders	1	6	oskill	Battle Cry	1	4	regen		12	12	0
Runeword17	Crescent Moon	1			axe	swor	pole							ShaelUmTir	r13	r22	r03				pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Summon Spirit Wolf	30	18	hit-skill	Static Field	7	13	hit-skill	Chain Lightning	10	17	0
Runeword22	Delirium	1			helm									LemIstIo	r20	r24	r16				hit-skill	Confuse	11	18	charged	Attract	60	17	gethit-skill	Terror	14	13	ac		261	261	gethit-skill	Mind Blast	6	14	gethit-skill	Delerium Change	1	50	allskills		2	2	0
Runeword26	Doomsayer	1			axe	pole	hamm							HelOhmUmLoCham	r15	r27	r22	r28	r32		dmg%		280	320	aura	Holy Freeze	12	12	swing2		45	45	noheal		1	1	pierce-cold		40	60	allskills		2	2	hit-skill	Volcano	5	18	0
Runeword33	Enigma	1			tors									JahIthBer	r31	r06	r30				ac		750	775	heal-kill		14	14	move2		45	45	str/lvl	6			allskills		2	2	mag%/lvl	8			oskill	Teleport	1	1	0
Runeword137	Stone	1			tors									ShaelUmPulLum	r13	r22	r21	r17			ac%		220	260	charged	Clay Golem	16	16	ac-miss		300	300	charged	Molten Boulder	80	16	str		16	16	vit		16	16	balance2		40	40	0
Runeword36	Eternity	1			mele									AmnBerIstSolSur	r11	r30	r24	r12	r29		dmg%		260	310	indestruct		1	1	slow		33	33	charged	Revive	88	8	regen		16	16	regen-mana		16	16	nofreeze		1	1	0
Runeword37	Exile's Path	1			pala									VexOhmIstDol	r26	r27	r24	r14			block2		30	30	freeze		1	1	ac%		220	260	aura	Defiance	13	16	skilltab	10	2	2	hit-skill	Life Tap	15	5	rep-dur	25			0
Runeword39	Famine	1			axe	hamm								FalOhmOrtJah	r19	r27	r09	r31			dmg%		270	320	lifesteal		12	12	swing2		30	30	noheal		1	1	dmg-mag		180	200	dmg-elem	100	50	200	ethereal		1	1	0
Runeword48	Hand of Justice	1			weap									SurChamAmnLo	r29	r32	r11	r28			swing2		33	33	dmg%		280	330	aura	Holy Fire	16	16	levelup-skill	Blaze	100	36	death-skill	Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Runeword51	Heart of the Oak	1			staf	mace								KoVexPulThul	r18	r26	r21	r10			cast2		40	40	charged	Oak Sage	25	4	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	40	charged	Raven	60	14	0
Runeword66	Kingslayer	1			swor	axe								MalUmGulFal	r23	r22	r25	r19			swing2		30	30	dmg%		230	270	reduce-ac		25	25	crush		33	33	openwounds		25	25	oskill	Vengeance	1	1	gold%		40	40	0
Runeword95	Passion	1			weap									DolOrtEldLem	r14	r09	r02	r20			dmg%		160	210	oskill	Zeal	1	1	att%		50	80	oskill	Berserk	1	1	swing2		25	25	charged	Heart of Wolverine	12	3	stupidity		10	10	0
Runeword45	Gloom	1			tors									FalUmPul	r19	r22	r21				ac%		170	230	res-all		30	30	gethit-skill	Dim Vision	15	3	balance2		10	10	dmg-to-mana		5	5	light		-3	-3	half-freeze		1	1	0
Runeword122	Sanctuary	1			shld									KoKoMal	r18	r18	r23				block		20	20	block2		20	20	ac%		130	160	ac-miss		250	250	res-all		50	70	balance2		20	20	charged	Slow Missiles	60	12	0
Runeword16	Chaos	1			h2h									FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		240	290	dmg-mag		216	471	oskill	Whirlwind	1	1	swing2		35	35	hit-skill	Frozen Orb	9	11	hit-skill	Charged Bolt	11	9	0
Runeword4	The Beast	1			axe	scep	hamm							BerTirUmMalLum	r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Summon Grizzly	5	13	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0
Runeword123	Serendipity	1			pole									AmnAmn	r11	r11					dmg%		120	120	hit-skill	8	50	2	enr		20	20	regen-mana		50	50	cast2		20	20									0
Runeword124	Shadow	1			miss									PulSolShaelSol	r21	r12	r13	r12			dmg%		166	166	dmg-cold/time		1	200	cold-len		75	300	move3		50	50	gethit-skill	264	25	12	charged	78	50	10					0
Runeword125	Shadow of Doubt	1			wand									ElTir	r01	r03					skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3	cast1		15	15	extra-pois		10	10									0
Runeword127	Siren's Song	1			circ									LemShael	r20	r13					allskills		2	2	mana%		40	40	cast2		25	25	all-stats		10	20	mag%		30	50	gethit-skill	81	44	3	ac/lvl	8			0
Runeword129	Sorrow	1			hamm									ShaelHel	r13	r15					dmg%		160	200	swing2		20	20	manasteal		6	6	charged	75	5	20	heal-kill		6	9	regen-mana		50	50	regen		-2	-2	0
Runeword130	Spirit	1			swor	shld								TalThulOrtAmn	r07	r10	r09	r11			allskills		2	2	cast2		25	35	balance2		55	55	vit		22	22	mana		82	112	abs-mag		3	8					0
Runeword131	Splendor	1			shld									EthLum	r05	r17					allskills		1	1	cast2		10	10	block2		20	20	ac%		60	100	gold%		50	50	mag%		20	20	light		3	3	0
Runeword132	Starlight	1			weap	armo	shld							ZodHelIstEl	r33	r15	r24	r01			allskills		3	3	dmg-norm		35	140	ac%		100	200	ease		-80	-80	mag%		150	300	levelreq		20	20	balance3		20	20	0
Runeword135	Still Water	1			abow									GulUmMalNef	r25	r22	r23	r04			ama		1	1	swing1		20	20	dmg-norm		30	150	dmg%		80	120	skilltab	0	2	2	heal-kill		15	20	dmg-cold	300	100	150	0
Runeword30	Duress	1			tors									ShaelUmThul	r13	r22	r10				balance2		20	20	dmg%		10	20	dmg-cold	75	37	133	crush		15	15	openwounds		33	33	ac%		150	200	stamdrain		-20	-20	0
Runeword138	Storm	1			spea									JahUmOhmOrtNef	r31	r22	r27	r09	r04		dmg%		333	333	swing1		20	20	hit-skill	49	16	21	oskill	thunder storm	10	10	res-ltng		100	100	abs-ltng%		25	25	addxp		3	3	0
Runeword140	Tempest	1			h2h									LemThul	r20	r10					dmg-cold		30	70	dmg-fire		100	200	dmg-ltng		1	300	extra-ltng		20	30	ass		2	2	skilltab	18	3	3	dmg%		140	190	0
Runeword141	Temptation	1			mace									OrtNefEl	r09	r04	r01				addxp		10	15	dmg%		176	176	allskills		1	1	all-stats		-10	-10	swing1		20	20									0
Runeword142	Terror	1			necr									LumMal	r17	r23					gethit-skill	77	100	10	nec		2	2	skill-rand	3	66	95	ac/lvl	12			cast2		25	25	mag%/lvl	8			oskill	fanaticism	3	3	0
Runeword90	Nightfall	1			tors									HelLoOhm	r15	r28	r27				ac%		150	300	mag%/time	2	1	300	vit/time	2	1	50	ac/time	2	1	500	dmg/time	2	1	75	gold%/time	2	1	300	enr/time	2	1	25	0
Runeword91	Oath	1			swor	axe	mace							ShaelPulMalLum	r13	r21	r23	r17			hit-skill	93	30	20	indestruct		1	1	swing2		30	30	dmg%		210	340	abs-mag		10	15	charged	236	20	16	charged	90	14	17	0
Runeword92	Obedience	1			pole									HelKoThulEthFal	r15	r18	r10	r05	r19		kill-skill	52	30	21	balance2		40	40	dmg%		370	370	pierce-fire		25	25	crush		40	40	ac		200	300	res-all		20	30	0
Runeword93	Oblivion	1			barb									UmFalKo	r22	r19	r18				bar		2	2	ac%		115	160	skill-rand	3	126	155	hit-skill	66	12	9	hp/lvl	12			swing2		20	20	crush/time	3	1	100	0
Runeword94	Obsession	1			club									ThulEl	r10	r01					dmg-norm		20	40	freeze		2	2	lifesteal		4	6	gold%		100	100	mag%		40	40									0
Runeword49	Harmony	1			miss									TirIthSolKo	r03	r06	r12	r18			aura	115	10	10	dmg%		200	275	dmg-fire		55	160	dmg-cold	75	55	160	oskill	32	2	6	regen-mana		20	20	charged	95	25	20	0
Runeword50	Hatred	1			weap									IoThul	r16	r10					dmg%		140	190	allskills		1	1	mag%		50	50	knock		1	1	freeze		3	3	dmg-dem/time	0	1	500					0
Runeword40	Flickering Flame	1			tors									VexRalKo	r26	r08	r18				extra-fire		15	20	pierce-fire		15	20	abs-fire%		15	20	aura	102	17	17	gethit-skill	47	20	19	att-skill	234	8	13	light		5	5	0
Runeword41	Fortitude	1			weap	armo	shld							ElSolDolLo	r01	r12	r14	r28			gethit-skill	60	20	15	dmg%		300	300	ac%		200	200	hp/lvl	8			res-all		25	30	cast2		25	25					0
Runeword42	Fortune's Favor	1			weap	armo	shld							FalIo	r19	r16					mag%/lvl	16	25	25	allskills		1	1	hp		30	50	res-all		10	10	levelreq		5	5	gold%		200	200					0
Runeword89	Nature's Kingdom	1			drui									AmnIth	r11	r06					dru		1	1	ac%		75	100	mana		40	60	cast2		20	20	res-all		20	20	all-stats		10	10					0
Runeword46	Glory	1			tors									IstIstIstIst	r24	r24	r24	r24			allskills		2	2	balance2		25	25	cast3		35	35	mana%		25	25	hp%		25	25	ac%		75	125	ease		-30	-30	0
Runeword38	Faith	1			miss									OhmJahLemEld	r27	r31	r20	r02			aura	122	12	15	allskills		1	2	dmg%		330	330	att%		300	300	res-all		15	15	dmg-fire		120	120	reanimate	4	10	10	0
Runeword43	Amity	1			mace									HelAmn	r15	r11					levelreq		5	5	addxp		-3	-3	rip		1	1	dmg%		133	133	dmg-norm		25	50	crush		66	66	deadly		34	34	0
Runeword2	Armageddon	1			swor									RalOrtThulChamBerHel	r08	r09	r10	r32	r30	r15	levelreq		13	13	dmg%		275	350	dmg-elem	200	50	300	hit-skill	59	40	20	gethit-skill	53	40	20	swing2		30	30	res-all		35	35	0
Runeword3	Authority	1			helm									ChamZodBer	r32	r33	r30				allskills		2	2	levelreq		12	12	mag%/lvl	12			ac%		160	200	hit-skill	72	16	9	slow		20	20	deadly		25	25	0
Runeword5	Beauty	1			abow									TirDol	r03	r14					skilltab	0	3	3	dmg-norm		30	60	knock		3	3	slow		15	15	lifesteal		8	8	ignore-ac		1	1	openwounds		50	50	0
