Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - NormalT1	100	0	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	1	Fire Arrow	4	70	4	1	10	Quickness	4	100	0	1	10	Critical Strike	1	0	0	3	10	Multiple Shot	4	0	0	1	10	Blessed Aim	1	10	0	3	10							1	15	2	50000	ama
Rogue Scout	Fire - NormalT2	100	0	271	1	1	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	1	Fire Arrow	4	104	4	12	10	Quickness	4	100	0	12	10	Critical Strike	1	0	0	14	10	Multiple Shot	4	0	0	12	10	Blessed Aim	1	10	0	14	10							1	15	2	50000	ama
Rogue Scout	Fire - NormalT3	100	0	271	1	1	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	1	Fire Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Multiple Shot	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Ice - NormalT1	100	1	271	1	1	3	150	merc01	merc41	100	105	45	9	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	1	Cold Arrow	4	70	4	1	10	Quickness	4	100	0	1	10	Critical Strike	1	0	0	3	10	Multiple Shot	4	0	0	1	10	Blessed Aim	1	10	0	3	10							1	15	2	50000	ama
Rogue Scout	Ice - NormalT2	100	1	271	1	1	36	150	merc01	merc41	6000	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	1	Cold Arrow	4	104	4	12	10	Quickness	4	100	0	12	10	Critical Strike	1	0	0	14	10	Multiple Shot	4	0	0	12	10	Blessed Aim	1	10	0	14	10							1	15	2	50000	ama
Rogue Scout	Ice - NormalT3	100	1	271	1	1	67	150	merc01	merc41	12500	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	1	Cold Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Multiple Shot	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Phys - Normal	100	2	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	1	Magic Arrow	4	70	4	1	10	Quickness	4	100	0	1	10	Critical Strike	1	0	0	3	10	Multiple Shot	4	0	0	1	10	Blessed Aim	1	10	0	3	10							1	15	2	50000	ama
Rogue Scout	Phys - Normal	100	2	271	1	1	36	150	merc01	merc41	6000	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	1	Magic Arrow	4	104	4	12	10	Quickness	4	100	0	12	10	Critical Strike	1	0	0	14	10	Multiple Shot	4	0	0	12	10	Blessed Aim	1	10	0	14	10							1	15	2	50000	ama
Rogue Scout	Phys - Normal	100	2	271	1	1	67	150	merc01	merc41	12500	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	1	Magic Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Multiple Shot	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	3	271	1	2	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	1	Exploding Arrow	4	104	4	12	10	Quickness	4	100	0	12	10	Critical Strike	1	0	0	14	10	Fire Arrow	4	0	0	12	10	Blessed Aim	1	10	0	14	10							1	15	2	50000	ama
