pet type	group	pool	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	overridename1	mclass2	micon2	overridename2	mclass3	micon3	overridename3	mclass4	micon4	overridename4
none																								
single			1	1		1		1																
valkyrie			0	1		1	1	1	StrUI4	1	1	valkarieicon												
skeleton			0	1		1	1	1	StrUI1	1	2	skeletonicon												
skeletonmage			0	1		1	1	1	StrUI2	1	2	skeletonmageicon												
claygolem			0	1		1	1	1	StrUI0	1	2	earthgolumicon	289	earthgolumicon										
bloodgolem			0	1		1	1	1	StrUI0	1	2	bloodgolumicon	291	bloodgolumicon										
hireable			1	1		1		1		1		rogueicon	338	act2hireableicon		359	act3hireableicon		561	barbhirable_icon		560	barbhirable_icon	
golem			0	1		1	1	1	StrUI0	1	2	metalgolumicon	292	metalgolumicon										
firegolem			0	1		1	1	1	StrUI0	1	2	firegolumicon	293	firegolumicon										
revive			0	1		1	1	1	StrUI3	1	2	revivedicon												
dopplezon			0				1	1		1														
invis			0	1																				
raven			0	1					strUI5		2	raven												
spiritwolf			0	1		1	1	1	strUI6	1	2	wolf												
fenris			0	1		1	1	1	UIFenirsui	1	2	wolf												
grizzly			0	1		1	1	1	strUI7	1	2	bear												
oaksage			0	1		1	1	1	strUI14	1	1	oaksage												
heartofwolverine			0	1		1	1	1	strUI14	1	1	heartofwolverine	423											
spiritofbarbs			0	1		1	1	1	strUI14	1	1	spiritofbarbs	422											
plaguepoppy			0	1		1	1	1	strUI13	1	1	plaguepoppy												
cycleoflife			0	1		1	1	1	strUI13	1	1	cycleoflife	426											
vines			0	1		1	1	1	strUI13	1	1	vines	427											
shadowwarrior			0	1		1	1	1	UIShadowMinion	1	1	shadowassassin												
shadowmaster			0	1		1	1	1	UIShadowMinion	1	2	shadowassassin												
assassintrap			0		1			1	UITrapCount		2	trapicon												
pettrap			0		1																			
hydra			0		1																			
demon		1	0	1		1	1	1	StrUIDemonicServant	1	3	BindDemon	743	Tainted	Tainted	744	WarImp	WarDefiler	742	Khazra	WarGoatman			
binddemon		1	0	1		1	1	1	StrUIDemonicServant	1	1	BindDemon												
