Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
Bishibosh	Bishibosh	fallenshaman1	0		8	29	16	2	2	1	0		11	11	11	Act 1 Super A		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Bonebreak	Bonebreak	skeleton1	1		5	8	0	5	5	1	0		5	5	5	Act 1 Super A		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Coldcrow	Coldcrow	cr_archer1	2		18	0	0	4	4	1	0		18	18	18	Act 1 Super A		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Rakanishu	Rakanishu	fallen2	3		17	6	16	8	8	0	0	1	29	29	29	Act 1 Super B		Act 1 (N) Super B		Act 1 (H) Super B	Act 1 (H) Super B Desecrated	0
Treehead WoodFist	Treehead WoodFist	brute2	4		5	6	0	2	2	1	0	1	4	4	4	Treehead Woodfist		Treehead Woodfist (N)		Treehead Woodfist (H)	Act 1 (H) Super B Desecrated	0
Griswold	Griswold	griswold	5		7	0	0	0	0	1	0	1	17	17	17	Griswold	Griswold Desecrated A	Griswold (N)	Griswold (N) Desecrated A	Griswold (H)	Griswold (H) Desecrated A	0
The Countess	The Countess	corruptrogue3	6	countess	6	24	0	6	6	1	0		16	16	16	Countess	Countess Desecrated A	Countess (N)	Countess (N) Desecrated A	Countess (H)	Countess (H) Desecrated A	0
Pitspawn Fouldog	Pitspawn Fouldog	bighead2	7		7	18	0	4	4	1	0		31	31	31	Act 1 Super B		Act 1 (N) Super B		Act 1 (H) Super B	Act 1 (H) Super B Desecrated	0
Flamespike the Crawler	Flamespike the Crawler	quillrat4	8		9	7	0	6	6	1	0		16	16	16	Act 1 Unique C		Act 1 (N) Unique C		Act 1 (H) Unique C	Act 1 (H) Unique C Desecrated	0
Boneash	Boneash	skmage_pois3	9		17	5	18	0	0	1	0		15	15	15	Act 1 Super C		Act 1 (N) Super C		Act 1 (H) Super C	Act 1 (H) Super C Desecrated	0
Radament	Radament	radament	10		6	0	0	3	3	1	0		30	30	30	Radament	Radament Desecrated A	Radament (N)	Radament (N) Desecrated A	Radament (H)	Radament (H) Desecrated A	0
Bloodwitch the Wild	Bloodwitch the Wild	pantherwoman1	11		5	7	0	5	5	1	0		29	29	29	Bloodwitch	Bloodwitch Desecrated A	Bloodwitch (N)	Bloodwitch (N) Desecrated A	Bloodwitch (H)	Bloodwitch (H) Desecrated A	0
Fangskin	Fangskin	clawviper3	12		17	6	0	4	4	1	0		14	14	14	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Beetleburst	Beetleburst	scarab2	13		8	0	0	3	3	1	0	1	13	13	13	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Leatherarm	Leatherarm	mummy2	14		5	18	0	5	5	1	0		25	25	25	Act 2 Super A		Act 2 (N) Super A		Act 2 (H) Super A	Act 2 (H) Super A Desecrated	0
Coldworm the Burrower	Coldworm the Burrower	maggotqueen1	15		18	17	0	0	0	0	0		13	13	13	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Fire Eye	Fire Eye	sandraider3	16		5	6	0	3	3	1	0		12	12	12	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
Dark Elder	Dark Elder	darkelder	17		6	8	0	4	4	1	0	1	27	27	27	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
The Summoner	The Summoner	summoner	18		5	6	7	0	0	1	0		26	26	26	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Summoner (H)	Summoner (H) Desecrated A	0
Ancient Kaa the Soulless	Ancient Kaa the Soulless	unraveler3	19		15	5	17	3	3	1	0		11	11	11	Act 2 Super C		Act 2 (N) Super C		Act 2 (H) Super C	Act 2 (H) Super C Desecrated	0
The Smith	The Smith	smith	20	smith	5	28	0	0	0	1	0		26	26	26	Smith	Smith Desecrated A	Smith (N)	Smith (N) Desecrated A	Smith (H)	Smith (H) Desecrated A	0
Web Mage the Burning	Web Mage the Burning	arach4	21		5	7	0	5	5	1	0		19	19	19	Act 3 Super A		Act 3 (N) Super A		Act 3 (H) Super A	Act 3 (H) Super A Desecrated	0
Witch Doctor Endugu	Witch Doctor Endugu	fetishshaman4	22		8	25	0	6	6	1	0		20	20	20	Act 3 Super B		Act 3 (N) Super B		Act 3 (H) Super B	Act 3 (H) Super B Desecrated	0
Stormtree	Stormtree	thornhulk3	23		6	17	0	4	4	1	0	1	35	35	35	Act 3 Super B		Act 3 (N) Super B		Act 3 (H) Super B	Act 3 (H) Super B Desecrated	0
Sarina the Battlemaid	Sarina the Battlemaid	corruptrogue5	24		6	27	0	9	9	1	0	1	36	36	36	Battlemaiden	Battlemaiden Desecrated A	Battlemaiden (N)	Battlemaiden (N) Desecrated A	Battlemaiden (H)	Battlemaiden (H) Desecrated A	0
Icehawk Riftwing	Icehawk Riftwing	batdemon3	25		18	26	0	7	7	1	0		21	21	21	Act 3 Super A		Act 3 (N) Super A		Act 3 (H) Super A	Act 3 (H) Super A Desecrated	0
Ismail Vilehand	Ismail Vilehand	councilmember1	26		6	7	0	2	2	1	0		36	36	36	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Geleb Flamefinger	Geleb Flamefinger	councilmember2	27		5	9	0	2	2	1	0		37	37	37	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Bremm Sparkfist	Bremm Sparkfist	councilmember3	28		30	17	0	2	2	1	0		22	22	22	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Toorc Icefist	Toorc Icefist	councilmember1	29		18	28	0	0	0	1	0		23	23	23	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Wyand Voidfinger	Wyand Voidfinger	councilmember2	30		15	26	0	0	0	1	0		38	38	38	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Maffer Dragonhand	Maffer Dragonhand	councilmember3	31		5	6	0	0	0	1	0		23	23	23	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Winged Death	Winged Death	megademon3	32		5	7	0	7	7	1	0		24	24	24	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
The Tormentor	The Tormentor	willowisp3	33		25	18	0	5	5	1	0		9	9	9	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Taintbreeder	Taintbreeder	vilemother2	34		6	0	0	6	6	1	0		10	10	10	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Riftwraith the Cannibal	Riftwraith the Cannibal	regurgitator2	35		18	26	0	8	8	1	0		25	25	25	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Infector of Souls	Infector of Souls	megademon3	36		6	27	0	9	9	1	0		26	26	26	Act 4 Super B		Act 4 (N) Super B		Act 4 (H) Super B	Act 4 (H) Super B Desecrated	0
Lord De Seis	Lord De Seis	doomknight3	37		5	30	24	5	5	1	0		11	11	11	Act 4 Super C		Act 4 (N) Super C		Act 4 (H) Super C	Act 4 (H) Super C Desecrated	0
Grand Vizier of Chaos	Grand Vizier of Chaos	fingermage3	38		5	9	0	9	9	1	0		26	26	26	Act 4 Super B		Act 4 (N) Super B		Act 4 (H) Super B	Act 4 (H) Super B Desecrated	0
The Cow King	The Cow King	cowking	39		5	17	6	6	6	1	0		27	27	27	Cow King	Cow King Desecrated A	Cow King (N)	Cow King (N) Desecrated A	Cow King (H)	Cow King (H) Desecrated A	0
Corpsefire	Corpsefire	zombie1	40		27	0	0	5	5	1	0		25	25	25	Corpsefire Splash Charm		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Hephasto	Hephasto	hephasto	41	smithdemon	5	28	0	0	0	1	0		20	20	20	Hephasto	Hephasto Desecrated A	Hephasto (N)	Hephasto (N) Desecrated A	Hephasto (H)	Hephasto (H) Desecrated A	0
Expansion																						0
Siege Boss	Siege Boss	shenk	42		4	16	28	0	0	0	0		7	7	7	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Ancient Barbarian 1	Ancient Barbarian 1	ancientbarb1	43		0	0	0	0	0	0	1		25	25	25							0
Ancient Barbarian 2	Ancient Barbarian 2	ancientbarb2	44		0	0	0	0	0	0	1		26	26	26							0
