index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Gnasher	0	0		1					1	1	1	5	hax	Hand Axe		5	5000	dyel			invhaxu				str		8	8	openwounds		20	20	crush		5	5	dmg%		100	100	oskill_hide	Hidden Charm Passive	1	1																														0
Deathspade	1	0		1					1	1	1	9	axe	Axe		5	5000	dgld			invaxeu				stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		60	70	oskill_hide	Hidden Charm Passive	1	1																										0
Bladebone	2	0		1					1	1	1	15	2ax	Double Axe		5	5000	lgry	lgry						dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		30	50	oskill_hide	Hidden Charm Passive	1	1																		0
Skull Splitter	3	0		1					1	1	12	21	mpi	Military Pick		5	5000	lgrn			invmpiu				stupidity		2	2	regen-mana		20	20	dmg-ltng		1	20	dmg-undead		50	100	att		50	100	dmg%		60	100	openwounds		15	15	pierce-dmg		15	15	oskill_hide	Hidden Charm Passive	1	1														0
Rakescar	4	0		1					1	1	20	27	wax	War Axe		5	5000	dgry	dgry						dmg-pois	75	128	128	att		50	50	res-pois		50	50	dmg%		75	150	swing2		30	30	oskill_hide	Hidden Charm Passive	1	1																										0
Axe of Fechmar	5	0		1					1	1	1	8	lax	Large Axe		5	5000	lpur	lpur						dmg%		70	90	freeze		3	3	res-cold		50	50	light		2	2	oskill_hide	Hidden Charm Passive	1	1																														0
Goreshovel	6	0		1					1	1	12	14	bax	Broad Axe		5	5000	dpur	dpur						swing3		30	30	str		25	25	openwounds		15	15	dmg%		40	50	dmg-max		20	30	oskill_hide	Hidden Charm Passive	1	1																										0
The Chieftain	7	0		1					1	1	12	19	btx	Battle Axe		5	5000	oran			invbtxu				dmg%		100	100	res-all		10	20	mana-kill		6	6	swing2		20	20	dmg-ltng		1	40	oskill_hide	Hidden Charm Passive	1	1																										0
Brainhew	8	0		1					1	1	17	25	gax	Great Axe		5	5000	whit			invgaxu				dmg-min		15	20	mana		25	25	dmg-max		30	50	manasteal		10	13	dmg%		50	80	dmg-fire		15	35	oskill_hide	Hidden Charm Passive	1	1																						0
Humongous	9	0		1					1	1	20	29	gix	Giant Axe		5	5000	blac	blac						str		20	30	dmg-min		8	8	dmg-max		15	25	crush		10	10	ease		20	20	dmg%		80	120	oskill_hide	Hidden Charm Passive	1	1																						0
Torch of Iro	10	0		1					1	1	1	5	wnd	Wand		5	5000	cred			invwndu				nec		1	1	lifesteal		6	6	dmg-fire		5	9	light		3	3	enr		10	10	regen-mana		5	5	oskill_hide	Hidden Charm Passive	1	1																						0
Maelstrom	11	0		1					1	1	1	14	ywn	Yew Wand		5	5000	dblu	dblu						ltng-min		1	1	ltng-max		9	9	res-ltng		40	40	mana		13	13	cast2		30	30	skill	Corpse Explosion	1	3	skill	Terror	1	3	skill	Amplify Damage	1	3	skill	Iron Maiden	1	3	oskill_hide	Hidden Charm Passive	1	1										0
Gravenspine	12	0		1					1	1	12	20	bwn	Bone Wand		5	5000	cgrn			invbwnu				str		10	10	dex		10	10	cold-min		4	4	cold-max		8	8	cold-len		75	75	manasteal		5	5	nec		2	2	mana		25	50	oskill_hide	Hidden Charm Passive	1	1														0
Ume's Lament	13	0		1					1	1	20	28	gwn	Grim Wand		5	5000	lblu	lblu						nec		2	2	mana		40	40	cast2		20	20	howl		64	64	skill	Terror	3	3	skill	Decrepify	2	2	oskill_hide	Hidden Charm Passive	1	1																						0
Felloak	14	0		1					1	1	1	3	clb	Club		5	5000	lgry			invclbu				res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		6	6	fire-max		8	8	dmg%		70	80	oskill_hide	Hidden Charm Passive	1	1																						0
Knell Striker	15	0		1					1	1	1	5	scp	Scepter		5	5000	dred	dred						crush		5	5	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		70	100	oskill_hide	Hidden Charm Passive	1	1																						0
Rusthandle	16	0		1					1	1	12	18	gsc	Grand Scepter		5	5000	lgld	lgld						pal		1	1	dmg-norm		3	7	red-mag		1	1	lifesteal		8	8	dmg%		50	60	dmg-undead		50	60	skill	Vengeance	1	3	skill	Thorns	3	3	oskill_hide	Hidden Charm Passive	1	1														0
