Name	isEquipment	ParentCategory	QualityFilter	NumColumns
Null	0		0	0
armo	1	Null	1	3
helms	1	armo	1	3
circl	1	armo	0	3
armor	1	armo	1	3
shlds	1	armo	1	3
glove	1	armo	1	3
boots	1	armo	1	3
belts	1	armo	1	3
barbh	1	armo	1	3
druid	1	armo	1	3
palad	1	armo	1	3
necro	1	armo	1	3
warlo	1	armo	1	3
weap	1	Null	1	3
axes	1	weap	1	3
bows	1	weap	1	3
xbows	1	weap	1	3
daggs	1	weap	1	3
javel	1	weap	1	3
maces	1	weap	1	3
poles	1	weap	1	3
scept	1	weap	1	3
spear	1	weap	1	3
stave	1	weap	1	3
sword	1	weap	1	3
throw	1	weap	1	3
wands	1	weap	1	3
amazo	1	weap	1	3
assas	1	weap	1	3
sorce	1	weap	1	3
acce	1	Null	0	3
charm	1	acce	0	3
amule	1	acce	0	3
rings	1	acce	0	3
jewel	1	acce	0	3
misc	0	Null	0	3
potis	0	misc	0	3
keysr	0	misc	0	3
scrlt	0	misc	0	2
ammo	0	misc	0	3
uberm	0	misc	0	3
terrt	0	misc	0	1
absol	0	misc	0	2
runes	0	misc	0	3
gems	0	misc	0	3
dns	0	Null	0	3
