name	* Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Jagged	+#% Enhanced Damage	100	1	1	1	24	1				150	111	dmg%		10	20										weap							orb	wand				0	0
Deadly	+#% Enhanced Damage	100	1	1	5	34	3				150	111	dmg%		21	30										weap							orb	wand				0	0
Vicious	+#% Enhanced Damage	100	1	1	8	44	6				150	111	dmg%		31	40									lgry	weap							orb	wand				0	0
Brutal	+#% Enhanced Damage	100	1	1	14	53	10				150	111	dmg%		41	50									lgry	weap							orb	wand				0	0
Massive	+#% Enhanced Damage	100	1	1	20	64	15				150	111	dmg%		51	65									dgry	weap							orb	wand				0	0
Savage	+#% Enhanced Damage	100	1	1	26	72	19				150	111	dmg%		66	80									dgry	weap							orb	wand				0	0
Heartless	+#% Enhanced Damage	100	1	1	32	80	24				150	111	dmg%		81	100									dgry	weap							orb	wand				0	0
Merciless	+#% Enhanced Damage	100	1	1	41		30				150	111	dmg%		101	125									dgry	weap							orb	wand				0	0
Merciless	+#% Enhanced Damage	100	1	1	49		38				150	111	dmg%		126	150									blac	weap							orb	wand				0	0
Ferocious	+#% Enhanced Damage	100	1	1	56		45				114	111	dmg%		151	200									blac	weap							orb	wand				0	0
Ferocious	+#% Enhanced Damage	100	1	1	61		51				114	111	dmg%		210	233									blac	weap							orb	wand				0	0
Cruel	+#% Enhanced Damage	100	1	1	69		63				114	111	dmg%		234	266									blac	weap							orb	wand				0	0
Cruel	+#% Enhanced Damage	100	1	1	74		69				114	111	dmg%		267	300									blac	weap							orb	wand				0	0
Jagged	+#% Enhanced Damage	100	1	1	21		16				26	105	dmg%		10	15										circ												0	0
Deadly	+#% Enhanced Damage	100	1	1	45		41				26	105	dmg%		16	25										circ												0	0
Vicious	+#% Enhanced Damage	100	1	1	70		64				24	105	dmg%		26	40										circ												0	0
Cinnabar	+#% Enhanced Damage	100	1	1	1	40	1				10	105	dmg%		5	10									dred	jewl												0	0
Rusty	+#% Enhanced Damage	100	1	1	13	80	9				10	105	dmg%		11	20									dred	jewl												0	0
Realgar	+#% Enhanced Damage	100	1	1	45		37				10	105	dmg%		21	30									dred	jewl												0	0
Ruby	+#% Enhanced Damage	100	1	1	66		58				10	105	dmg%		31	40									dred	jewl												0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	20		18				2	111	dmg%/lvl	8											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	35		35				2	111	dmg%/lvl	12											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	55		49				2	111	dmg%/lvl	16											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	70		66				2	111	dmg%/lvl	24											whit	weap							orb	wand				0	0
Paradox	+#% Enhanced Maximum Damage (Based on Character Level)	100	1	1	85		77				2	111	dmg%/lvl	32											whit	weap							orb	wand				0	0
