Name	* Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Defense1	+# Defense & +#% Enhanced Damage	100	1	1	12		8				60	61	ac		5	10										ring	amul											0	0
of Defense1	+# Defense & +#% Enhanced Damage	100	1	1	33		27				60	61	ac		11	25										ring	amul											0	0
of Guarding	+# Defense & +#% Enhanced Damage	100	1	1	51		46				60	61	ac		26	50										ring	amul											0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	1	55	1				96	14	dmg-max		1	2										amul	ring											0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	22		19				96	14	dmg-max		3	4										amul	ring											0	0
of Quality	+# to Maximum Damage	100	1	1	53		49				96	14	dmg-max		5	7										amul	ring											0	0
of Quality	+# to Maximum Damage	100	1	1	77		61				96	14	dmg-max		8	10										amul	ring											0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	1	20	1				192	14	dmg-max		1	2										weap							wand	orb				0	0
of Quality	+# to Maximum Damage	100	1	1	4	30	3				192	14	dmg-max		3	4										weap							wand	orb				0	0
of Maiming	+# to Maximum Damage	100	1	1	7	40	5				192	14	dmg-max		5	6										weap							wand	orb				0	0
of Slaying	+# to Maximum Damage	100	1	1	11	55	8				192	14	dmg-max		7	8										weap							wand	orb				0	0
of Gore	+# to Maximum Damage	100	1	1	14	65	10				192	14	dmg-max		9	10										weap							wand	orb				0	0
of Carnage	+# to Maximum Damage	100	1	1	19	80	14				176	14	dmg-max		11	14									blac	weap							wand	orb				0	0
of Slaughter	+# to Maximum Damage	100	1	1	25		18				168	14	dmg-max		15	20									blac	weap							wand	orb				0	0
of Butchery	+# to Maximum Damage	100	1	1	35		27				160	14	dmg-max		21	40									blac	weap							wand	orb				0	0
of Evisceration	+# to Maximum Damage	100	1	1	45		37				144	14	dmg-max		41	63									blac	weap							wand	orb				0	0
of Evisceration	+# to Maximum Damage	100	1	1	60		50				128	14	dmg-max		64	80									blac	weap							wand	staf	orb			0	0
of Evisceration	+# to Maximum Damage	100	1	1	73		65				112	14	dmg-max		81	100									blac	weap							wand	staf	orb			0	0
of Evisceration	+# to Maximum Damage	100	1	1	85		79				88	14	dmg-max		101	120									blac	weap							wand	staf	orb			0	0
of Maiming	+# to Maximum Damage	100	1	1	42		34				48	14	dmg-max		1	4										shld												0	0
of Maiming	+# to Maximum Damage	100	1	1	65		51				36	14	dmg-max		5	8										shld												0	0
of Maiming	+# to Maximum Damage	100	1	1	80		68				36	14	dmg-max		9	12										shld												0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	1	7	1				48	14	dmg-max		1	2										circ												0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	12	14	10				48	14	dmg-max		2	3										circ												0	0
of Craftsmanship	+# to Maximum Damage	100	1	1	24	29	22				48	14	dmg-max		4	5										circ												0	0
of Quality	+# to Maximum Damage	100	1	1	37		35				48	14	dmg-max		6	7										circ												0	0
of Quality	+# to Maximum Damage	100	1	1	48		46				48	14	dmg-max		8	9										circ												0	0
of Maiming	+# to Maximum Damage	100	1	1	66		62				48	14	dmg-max		10	12										circ												0	0
of Maiming	+# to Maximum Damage	100	1	1	79		74				48	14	dmg-max		13	15										circ												0	0
of Ire	+# to Maximum Damage	100	1	1	4		3				48	14	dmg-max		2	5										jewl												0	0
of Wrath	+# to Maximum Damage	100	1	1	16		11				48	14	dmg-max		6	9									blac	jewl												0	0
of Carnage	+# to Maximum Damage	100	1	1	35		30				48	14	dmg-max		10	15									blac	jewl												0	0
of Carnage	+# to Maximum Damage	100	1	1	67		55				48	14	dmg-max		16	20									blac	jewl												0	0
of Worth	+# to Minimum Damage	100	1	1	1	20	1				96	15	dmg-min		1	2										weap							orb	wand				0	0
of Measure	+# to Minimum Damage	100	1	1	12	30	9				84	15	dmg-min		3	4										weap							orb	wand				0	0
of Excellence	+# to Minimum Damage	100	1	1	24	45	18				72	15	dmg-min		5	8										weap							orb	wand				0	0
of Performance	+# to Minimum Damage	100	1	1	48	55	40				60	15	dmg-min		9	14									blac	weap							orb	wand				0	0
of Transcendence	+# to Minimum Damage	100	1	1	76	65	68				48	15	dmg-min		15	20									blac	weap							orb	wand				0	0
of Transcendence	+# to Minimum Damage	100	1	1	82		75				36	15	dmg-min		30	40									blac	weap							orb	wand				0	0
of Transcendence	+# to Minimum Damage	100	1	1	85		83				24	15	dmg-min		50	60									blac	weap							orb	wand				0	0
of Worth	+# to Minimum Damage	100	1	1	15		11				32	15	dmg-min		2	3										ring	amul	circ										0	0
of Measure	+# to Minimum Damage	100	1	1	37		29				32	15	dmg-min		4	5										ring	amul	circ										0	0
of Excellence	+# to Minimum Damage	100	1	1	59		51				32	15	dmg-min		6	9										ring	amul	circ										0	0
of Performance	+# to Minimum Damage	100	1	1	81		73				32	15	dmg-min		10	13										ring	amul	circ										0	0
of Joyfulness	+# to Minimum Damage	100	1	1	5	50	3				32	15	dmg-min		1	4									whit	jewl												0	0
of Bliss	+# to Minimum Damage	100	1	1	43		37				32	15	dmg-min		5	10									whit	jewl												0	0
of Frost	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second) 	100	1	1	4	35	3				60	10	cold-min		1	1	cold-max		1	2	cold-len		50	50		weap							wand	orb				0	0
of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	13	50	9				48	10	cold-min		1	1	cold-max		3	4	cold-len		75	75		weap							wand	orb				0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	27	70	20				36	10	cold-min		2	4	cold-max		4	15	cold-len		100	100	dblu	weap							wand	orb				0	0
of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	45		37				24	10	cold-min		5	9	cold-max		16	50	cold-len		150	150	dblu	weap							wand	orb				0	0
of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	60		50				12	10	cold-min		20	30	cold-max		75	100	cold-len		150	150	dblu	weap							wand	orb				0	0
of Winter	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	80		75				12	10	cold-min		35	45	cold-max		100	150	cold-len		150	150	dblu	weap							wand	orb				0	0
of Frost	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	55		41				24	10	cold-min		1	1	cold-max		3	6	cold-len		75	75	dblu	belt	amul											0	0
of Frigidity	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	65		55				24	10	cold-min		1	1	cold-max		7	10	cold-len		100	100	dblu	belt	amul											0	0
