monster	*index	hirelingAlternateVoice	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	consumestat1	consumepar1	consumecalc1	consumestat2	consumepar2	consumecalc2	consumestat3	consumepar3	consumecalc3	consumestat4	consumepar4	consumecalc4	consumestat5	consumepar5	consumecalc5	numunderlingcalc	bindchancecalc	BoundStat1	BoundCalc1	BoundStat2	BoundCalc2	BoundStat3	BoundCalc3	BoundStat4	BoundCalc4	BoundStat5	BoundCalc5
roguehire	271	1																										0											
act2hire	338																											0											
act3hire	359																											0											
act5hire1	560																											0											
act5hire2	561																											0											
bighead1	10		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	lightresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
bighead2	11		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	lightresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
bighead3	12		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	lightresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
bighead4	13		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	lightresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
bighead5	14		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	lightresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
