Act	Place	* DS1 ID#
1	gheed	0
1	cain1	1
1	akara	2
1	chicken	3
1	rogue1	4
1	kashya	5
1	cow	6
1	warriv1	7
1	charsi	8
1	andariel	9
1	place_fallen	10
1	place_fallenshaman	11
1	place_bloodraven	12
1	cow	13
1	camel	14
1	place_unique_pack	15
1	place_npc_pack	16
1	Raven Talon	17
1	Raven Eye	18
1	place_champion	19
1	navi	20
1	rogue1	21
1	rogue3	22
1	gargoyletrap	23
1	place_fallennest	24
1	place_talkingrogue	25
1	place_fallen	26
1	place_fallenshaman	27
1	trap-horzmissile	28
1	trap-vertmissile	29
1	place_group25	30
1	place_group50	31
1	place_group75	32
1	place_group100	33
1	Bishibosh	34
1	Bonebreak	35
1	Coldcrow	36
1	Rakanishu	37
1	Treehead WoodFist	38
1	Griswold	39
1	The Countess	40
1	Pitspawn Fouldog	41
1	Flamespike the Crawler	42
1	Boneash	43
1	The Smith	44
1	The Cow King	45
1	Corpsefire	46
1	Workfire	47
1	Smith Sword	48
1	Tormented Sister	49
2	warriv2	0
2	atma	1
2	drognan	2
2	fara	3
2	place_nothing	4
2	place_nothing	5
2	place_nothing	6
2	place_nothing	7
2	greiz	8
2	elzix	9
2	lysander	10
2	meshif1	11
2	geglash	12
2	jerhyn	13
2	place_unique_pack	14
2	place_npc_pack	15
2	place_nothing	16
2	The Summoner	17
2	Radament	18
2	duriel	19
2	cain2	20
2	place_champion	21
2	act2male	22
2	act2female	23
2	act2guard1	24
2	act2vendor1	25
2	act2vendor2	26
2	place_tightspotboss	27
2	fish	28
2	place_talkingguard	29
2	place_dumbguard	30
2	place_maggot	31
2	place_maggotegg	32
2	place_nothing	33
2	gargoyletrap	34
2	trap-horzmissile	35
2	trap-vertmissile	36
2	place_group25	37
2	place_group50	38
2	place_group75	39
2	place_group100	40
2	lightningspire	41
2	firetower	42
2	place_nothing	43
2	place_nothing	44
2	place_nothing	45
2	Bloodwitch the Wild	46
2	Fangskin	47
2	Beetleburst	48
2	Leatherarm	49
2	Coldworm the Burrower	50
2	Fire Eye	51
2	Dark Elder	52
2	Ancient Kaa the Soulless	53
2	act2guard4	54
2	act2guard5	55
2	sarcophagus	56
2	tyrael1	57
2	skeleton5	58
2	sarcophagus2	59
3	cain3	0
3	place_champion	1
3	act3male	2
3	act3female	3
3	asheara	4
3	hratli	5
3	alkor	6
3	ormus	7
3	meshif2	8
3	place_amphibian	9
3	place_tentacle_ns	10
3	place_tentacle_ew	11
3	place_fetishnest	12
3	trap-horzmissile	13
3	trap-vertmissile	14
3	natalya	15
3	place_mosquitonest	16
3	place_group25	17
3	place_group50	18
3	place_group75	19
3	place_group100	20
3	compellingorb	21
3	mephisto	22
3	trap-melee	23
3	mephistospirit	24
3	act3hire	25
3	place_fetish	26
3	place_fetishshaman	27
3	Web Mage the Burning	28
3	Witch Doctor Endugu	29
3	Stormtree	30
3	Sarina the Battlemaid	31
3	Icehawk Riftwing	32
3	Ismail Vilehand	33
3	Geleb Flamefinger	34
3	Bremm Sparkfist	35
3	Toorc Icefist	36
3	Wyand Voidfinger	37
3	Maffer Dragonhand	38
3	mephisto	39
4	place_champion	0
4	trap-horzmissile	1
4	trap-vertmissile	2
4	place_group25	3
4	place_group50	4
4	place_group75	5
4	place_group100	6
4	tyrael2	7
4	window2	8
4	window1	9
4	jamella	10
4	halbu	11
4	hellmeteor	12
4	izual	13
4	diablo	14
4	Winged Death	15
4	The Tormentor	16
4	Taintbreeder	17
4	Riftwraith the Cannibal	18
4	Infector of Souls	19
4	Lord De Seis	20
4	Grand Vizier of Chaos	21
4	trappedsoul1	22
4	trappedsoul2	23
4	regurgitator3	24
4	cain4	25
4	malachai	26
4	Hephasto	27
4	Hephasto Sword	28
4	Legion	29
4	Leviathan	30
4	Kudaai	31
5	larzuk	0
5	drehya	1
5	malah	2
5	nihlathak	3
5	qual-kehk	4
5	place_impgroup	5
5	Siege Boss	6
5	tyrael3	7
5	cain6	8
5	place_imp	9
5	place_minion	10
5	place_miniongroup	11
5	catapult2	12
5	catapult1	13
5	place_bloodlord	14
5	catapultspotter2	15
5	catapultspotter1	16
5	act5barb1	17
5	place_deadbarb	18
5	place_deadminion	19
5	place_deadimp	20
5	cain6	21
5	act5barb3	22
5	place_reanimateddead	23
5	ancientstatue1	24
5	ancientstatue2	25
5	ancientstatue3	26
5	Dac Farren	27
5	baalthrone	28
5	baaltaunt	29
5	injuredbarb1	30
5	injuredbarb2	31
5	injuredbarb3	32
5	baalcrab	33
5	Axe Dweller	34
5	Bonesaw Breaker	35
5	Megaflow Rectifier	36
5	Eyeback Unleashed	37
5	Thresh Socket	38
5	Pindleskin	39
5	Snapchip Shatter	40
5	Anodized Elite	41
5	Vinvear Molech	42
5	Sharp Tooth Sayer	43
5	Magma Torquer	44
5	Blaze Ripper	45
5	Frozenstein	46
5	worldstoneeffect	47
5	chicken	48
5	place_champion	49
5	evilhut	50
5	Shenk Lieutenant	51
5	Baal Fighter	52
5	Baal Mage	53
5	place_nothing	54
5	place_nothing	55
5	horse	56
