Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	CannotDesecrate	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	ShieldBlockOverride	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass	TreasureClassChamp	TreasureClassUnique	TreasureClassQuest	TreasureClassDesecrated	TreasureClassDesecratedChamp	TreasureClassDesecratedUnique	TreasureClass(N)	TreasureClassChamp(N)	TreasureClassUnique(N)	TreasureClassQuest(N)	TreasureClassDesecrated(N)	TreasureClassDesecratedChamp(N)	TreasureClassDesecratedUnique(N)	TreasureClass(H)	TreasureClassChamp(H)	TreasureClassUnique(H)	TreasureClassQuest(H)	TreasureClassDesecrated(H)	TreasureClassDesecratedChamp(H)	TreasureClassDesecratedUnique(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1	skeleton2	0	Skeleton	skeleton1	speed_slow_monprop	skeleton	Skeleton		SK	1													2	6		3	3	2	2	37	68	skeleton	skeleton	10	15	14	13				60	65	70	15	12	10	75	80	85	75	75	75																						1	1					1				1			1	1							1						SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						25						75	33		20	99	20	75	2				10	10	10	5	86	129	84	86	34	101	101	34	101	101				77	110	100	85	40	100	120	40	105	125				118	168	100	60	56	140	120	56	147	125																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A					Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A			Act 1 (N) Champ A Desecrated	Act 1 (N) Unique A Desecrated	Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A			Act 1 (H) Champ A Desecrated	Act 1 (H) Unique A Desecrated							0
skeleton2	1	skeleton1	skeleton3	1	Returned	skeleton2	speed_slow_monprop	skeleton	Skeleton		SK	1													4	6		4	4	2	6	38	69	skeleton	skeleton	10	15	14	13				70	75	80	12	10	7	80	85	90	25	25	25																						1	1					1				1			1	1							1						SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25						25						75	33		20	20	20	99	2				15	15	15	5	87	127	84	86	41	101	93	41	101	93				77	110	100	85	40	100	120	40	105	125				118	168	100	60	56	140	120	56	147	125																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B			Act 1 (N) Champ B Desecrated	Act 1 (N) Unique B Desecrated	Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0
skeleton3	2	skeleton1	skeleton4	2	BoneWarrior	skeleton3	speed_slow_monprop	skeleton	Skeleton		SK	1													4	8		4	4	2	7	39	85	skeleton	skeleton	10	15	14	13				80	85	90	9	8	7	85	90	95	50	50	50																						1	1					1				1			1	1							1						SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25					40	25					60	75	33		20	20	99	75	2				20	20	20	5	89	124	84	85	41	121	94	41	121	94				77	110	100	85	40	100	120	40	105	125				118	168	100	60	56	140	120	56	147	125																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B					Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B			Act 1 (N) Champ B Desecrated	Act 1 (N) Unique B Desecrated	Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B			Act 1 (H) Champ B Desecrated	Act 1 (H) Unique B Desecrated							0
skeleton4	3	skeleton1	skeleton5	3	BurningDead	skeleton4	speed_slow_monprop	skeleton	Skeleton		SK	1													4	8		5	5	2	13	43	74	skeleton	skeleton	10	15	14	13				90	95	95	7	6	5	90	95	99	66	66	66																						1	1					1				1			1	1							1						SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25			50			25			75			75	33		99	20	20	75	2				25	25	25	5	93	133	84	85	45	101	93	34	101	93				91	130	100	85	40	100	120	40	105	125				88	125	100	60	56	126	110	56	147	125				A1	fire	50	22	55		50	25	55		50	35	77																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
skeleton5	4	skeleton1	skeleton6	4	Horror	skeleton5	speed_slow_monprop	skeleton	Skeleton		SK	1													4	8		5	5	2	14	44	78	skeleton	skeleton	10	15	14	13				99	99	99	5	5	5	95	99	99	33	33	33																						1	1					1				1			1	1							1						SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25		20		60		25		40		80		75	33	70	20	99	20	75	2				30	30	30	5	94	131	84	85	41	101	94	31	101	94				91	130	100	85	40	100	120	40	105	125				88	125	100	60	56	140	120	56	133	115				A2	ltng	60	30	60		60	30	50		60	42	70																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A					Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A			Act 2 (N) Champ A Desecrated	Act 2 (N) Unique A Desecrated	Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A			Act 2 (H) Champ A Desecrated	Act 2 (H) Unique A Desecrated							0
zombie1	5	zombie1	zombie2	0	Zombie	zombie1	speed_fast_monprop	zombie	Zombie		ZM	1													2	4		1	3	2	1	36	67	zombie	zombieunique	10	15	14	13				30	40	50	10	15	20				20	25	30																						1	1					1							1	1							1																														100	75	60	-50	-40	-25						25						75	40				99	75	2				3	3	3	5	101	181	84	111	51	151	101	101	151	101				116	165	80	105	60	140	105	70	150	110				176	253	80	80	84	196	105	98	210	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A					Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A			Act 1 (N) Champ A Desecrated	Act 1 (N) Unique A Desecrated	Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A			Act 1 (H) Champ A Desecrated	Act 1 (H) Unique A Desecrated							0
zombie2	6	zombie1	zombie3	1	HungryDead	zombie2	speed_fast_monprop	zombie	Zombie		ZM	1													2	6		1	4	2	2	37	68	zombie	zombieunique	10	15	14	13				40	50	60	15	20	25				25	30	35																						1	1					1							1	1							1																														100	75	60	-50	-40	-25						25						75	40			99		75	2				4	4	4	5	101	186	84	111	34	101	101	101	134	101				116	165	80	105	60	140	105	70	150	110				176	253	80	80	84	196	105	98	210	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A					Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A			Act 1 (N) Champ A Desecrated	Act 1 (N) Unique A Desecrated	Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A			Act 1 (H) Champ A Desecrated	Act 1 (H) Unique A Desecrated							0
zombie3	7	zombie1	zombie4	2	Ghoul	zombie3	speed_fast_monprop	zombie	Zombie		ZM	1													4	6		1	4	2	12	43	73	zombie	zombieunique	10	15	14	13				50	60	70	20	25	30				30	35	40																						1	1					1							1	1							1																														100	75	60	-50	-40	-25						25						75	40		99			75	2				13	13	13	5	108	197	84	109	51	138	93	113	163	93				116	165	80	105	60	140	105	70	150	110				176	253	80	80	84	196	105	98	210	110																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C					Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C			Act 2 (N) Champ C Desecrated	Act 2 (N) Unique C Desecrated	Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C			Act 2 (H) Champ C Desecrated	Act 2 (H) Unique C Desecrated							0
zombie4	8	zombie1	zombie5	3	DrownedCarcass	zombie4	speed_fast_monprop	zombie	Zombie		ZM	1													4	8		1	5	2	22	50	80	zombie	zombieunique	10	15	14	13				100	100	100	30	30	30				35	40	45																						1	1					1							1	1							1																														100	75	60	-50	-40	-25	20		50			25	40		75			75	40		99			75	2				22	22	22	5	107	192	85	109	51	136	94	108	165	94				168	240	80	105	66	154	116	77	165	121				198	284	80	80	85	209	116	108	231	121				A1	cold	75	21	42	25	75	22	44	75	75	31	62	100																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A					Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A			Act 3 (N) Champ A Desecrated	Act 3 (N) Unique A Desecrated	Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A			Act 3 (H) Champ A Desecrated	Act 3 (H) Unique A Desecrated							0
zombie5	9	zombie1		4	PlagueBearer	zombie5	speed_fast_monprop	zombie	Zombie		ZM	1													6	8		1	5	2	17	46	77	zombie	zombieunique	10	15	14	13				60	70	80	25	30	30				40	45	50																						1	1					1							1	1							1																														100	75	60	-50	-40	-25		50				25		75				75	40	99				75	2				17	17	17	5	109	192	84	109	55	137	92	101	164	92				137	195	80	105	60	140	105	70	150	110				187	269	80	80	77	189	105	98	210	110				A1	pois	50	27	54	400	50	25	25	400	50	35	35	400																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B					Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B			Act 2 (N) Champ B Desecrated	Act 2 (N) Unique B Desecrated	Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B			Act 2 (H) Champ B Desecrated	Act 2 (H) Unique B Desecrated							0
