pet type	group	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	mclass2	micon2	mclass3	micon3	mclass4	micon4
none																			
single		1	1		1		1												
valkyrie		0	1		1	1	1	StrUI4	1	1	valkarieicon								
golem		0	1		1	1	1	StrUI0	1	2	metalgolumicon	292	metalgolumicon						
skeleton		0	1		1	1	1	StrUI1	1	2	skeletonicon								
skeletonmage		0	1		1	1	1	StrUI2	1	2	skeletonmageicon								
revive		0	1		1	1	1	StrUI3	1	2	revivedicon								
hireable		1	1		1		1		1		rogueicon	338	act2hireableicon	359	act3hireableicon	561	barbhirable_icon	560	barbhirable_icon
dopplezon		0				1	1		1										
invis		0	1																
raven		0	1					strUI5		2	raven								
spiritwolf		0	1		1	1	1	strUI6	1	2	wolf								
fenris		0	1		1	1	1	UIFenirsui	1	2	wolf								
oaksage		0	1		1	1	1	strUI14	1	1	oaksage								
plaguepoppy		0	1		1	1	1	strUI13	1	1	plaguepoppy								
grizzly		0	1		1	1	1	strUI7	1	2	bear								
shadowwarrior		0	1		1	1	1	UIShadowMinion	1	1	shadowassassin								
assassintrap		0		1															
pettrap		0		1															
hydra		0		1															
claygolem		0	1		1	1	1	StrUI0	1	2	earthgolumicon	289	earthgolumicon						
bloodgolem		0	1		1	1	1	StrUI0	1	2	bloodgolumicon	291	bloodgolumicon						
firegolem		0	1		1	1	1	StrUI0	1	2	firegolumicon	293	firegolumicon						
heartofwolverine		0	1		1	1	1	strUI14	1	1	heartofwolverine	423							
spiritofbarbs		0	1		1	1	1	strUI14	1	1	spiritofbarbs	422							
cycleoflife		0	1		1	1	1	strUI13	1	1	cycleoflife	426							
vines		0	1		1	1	1	strUI13	1	1	vines	427							
