Name	*Rune Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Friendship	Friendship	1				club	hamm	mace							HelAmn	r15	r11					levelreq		5	5	addxp		-3	-3	rip		1	1	dmg%		133	133	dmg-norm		25	50	crush		66	66	deadly		34	34	0
Ancient's Pledge	Ancient's Pledge	1				shld									RalOrtTal	r08	r09	r07				res-cold		30	30	res-all		13	13	ac%		50	50	dmg-to-mana		10	10													0
Armageddon	Armageddon	1				swor									RalOrtThulChamBerHel	r08	r09	r10	r32	r30	r15	levelreq		13	13	dmg%		275	350	dmg-elem	200	50	300	hit-skill	Blizzard	40	20	gethit-skill	Chain Lightning	40	20	swing2		30	30	res-all		35	35	0
Authority	Authority	1				helm									ChamZodBer	r32	r33	r30				allskills		2	2	levelreq		12	12	mag%/lvl	12			ac%		160	200	hit-skill	Weaken	16	9	slow		20	20	deadly		25	25	0
Beast	Beast	1				axe	scep	club	hamm	mace					BerTirUmMalLum	r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Summon Grizzly	5	13	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0
Beauty	Beauty	1				abow									TirDol	r03	r14					skilltab	0	3	3	dmg-norm		30	60	knock		3	3	slow		15	15	lifesteal		8	8	ignore-ac		1	1	openwounds		50	50	0
Black	Black	1				club	hamm	mace							ThulIoNef	r10	r16	r04				crush		40	40	dmg%		120	120	swing2		15	15	red-mag		2	2	att		200	200	charged	Corpse Explosion	12	4					0
Blood	Blood	1				weap	armo	shld							MalShael	r23	r13					levelreq		18	18	dmg%		200	250	ac		125	175	bloody		1	1	allskills		2	2	hp%		10	15	red-dmg%		10	15	0
Bone Reimagined	Bone Reimagined	1				necr									BerUm	r30	r22					nec		2	2	skilltab	7	4	4	skill	Bone Armor	3	3	skill	Bone Wall	3	3	skill	Bone Spear	3	3	skill	Bone Prison	3	3	skill	Bone Spirit	3	3	0
Bramble	Bramble	1				tors									RalOhmSurEth	r08	r27	r29	r05			balance2		50	50	ac		300	300	aura	Thorns	15	21	heal-kill		13	13	extra-pois		25	50	res-pois		100	100	charged	Spirit of Barbs	33	13	0
Brand	Brand	1				miss									JahLoMalGul	r31	r28	r23	r25			gethit-skill	Amplify Damage	35	14	hit-skill	Bone Spear	100	18	explosivearrow		1	1	dmg%		260	340	dmg-demon		280	330	knock		1	1					0
Breath of the Dying	Breath of the Dying	1				weap									VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	swing2		60	60	dmg-undead		125	125	lifesteal		12	15	noheal		1	1	kill-skill	Poison Nova	50	20	dmg%		350	400	all-stats		30	30	0
Broken Promise	Broken Promise	1				weap									ChamVexAmnShaelLo	r32	r26	r11	r13	r28		dmg%		350	400	allskills		2	2	dmg/lvl	24			addxp		-5	-5	hit-skill	Bone Spirit	18	18	levelreq		15	15	crush		35	35	0
Bulwark	Bulwark	1			 D2R  Ladder  3 	helm									ShaelIoSol	r13	r16	r12				hp%		5	5	ac%		75	100	red-dmg%		10	15	regen		30	30	lifesteal		4	6									0
Call to Arms	Call to Arms	1				weap									AmnRalMalIstOhm	r11	r08	r23	r24	r27		swing2		40	40	dmg%		200	240	allskills		1	1	oskill	Battle Command	2	6	oskill	Battle Orders	1	6	oskill	Battle Cry	1	4	regen		12	12	0
Chains of Honor	Chains of Honor	1				tors									DolUmBerIst	r14	r22	r30	r24			res-all		50	50	ac%		70	70	dmg-demon		200	200	dmg-undead		100	100	lifesteal		8	8	allskills		2	2	str		20	20	0
Chance	Chance	1				shld									EthIthTir	r05	r06	r03				block		15	15	block2		20	20	mana		25	25	cast1		15	15	mag%		20	30	gold%		75	75					0
Chaos	Chaos	1				h2h									FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		240	290	dmg-mag		216	471	oskill	Whirlwind	1	1	swing2		35	35	hit-skill	Frozen Orb	9	11	hit-skill	Charged Bolt	11	9	0
Crescent Moon	Crescent Moon	1				axe	swor	pole							ShaelUmTir	r13	r22	r03				pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Summon Spirit Wolf	30	18	hit-skill	Static Field	15	13	hit-skill	Chain Lightning	20	17	0
Cure	Cure	1			 D2R  Ladder  3 	helm									ShaelIoTal	r13	r16	r07				hp%		5	5	ac%		75	100	res-pois		10	30	res-pois-len		50	50	aura	Cleansing	1	1									0
Darkness	Darkness	1				h2h									ZodAmnVex	r33	r11	r26				ass		3	3	all-stats		20	30	dmg-norm		75	150	res-all		20	40	red-dmg%		15	15	mag%/lvl	8							0
Daylight	Daylight	1				orb									JahFalUm	r31	r19	r22				sor		3	3	regen-mana		50	50	cast2		30	30	aura	Conviction	4	4	charged	Lower Resist	33	18	mana%		50	50	hp%		25	25	0
Death	Death	1				swor	axe								HelElVexOrtGul	r15	r01	r26	r09	r25		death-skill	Chain Lightning	100	44	att-skill	Glacial Spike	25	18	indestruct		1	1	dmg%		300	385	crush		50	50	deadly/lvl	4			charged	BloodGolem	15	22	0
Deception	Deception	1				pole									IoDolLum	r16	r14	r17				dmg%		165	205	lifesteal		8	8	oskill	Teleport	1	1	balance3		40	40	dmg/lvl	8			extra-fire		15	15	charged	Meteor	150	18	0
Delirium	Delirium	1				helm									LemIstIo	r20	r24	r16				hit-skill	Confuse	11	18	charged	Attract	60	17	gethit-skill	Terror	14	13	ac		261	261	gethit-skill	Mind Blast	6	14	gethit-skill	Delerium Change	1	50	allskills		2	2	0
Desire	Desire	1				weap	armo	shld							ElTirEl	r01	r03	r01				dmg%		30	50	ac%		30	50	all-stats		5	5	mag%		20	25													0
Despair	Despair	1				spea									GulMalShaelShaelEl	r25	r23	r13	r13	r01		dmg%		260	300	hit-skill	Weaken	32	6	slow		20	20	oskill	Fend	7	7	mag%		35	35	manasteal		9	9					0
Destruction	Destruction	1				pole	swor								VexLoBerJahKo	r26	r28	r30	r31	r18		hit-skill	Volcano	23	12	hit-skill	Molten Boulder	5	23	death-skill	Meteor	100	45	att-skill	Nova	15	22	dmg%		350	350	dmg-mag		100	180					0
Distortion	Distortion	1				helm									OrtThulIth	r09	r10	r06				res-all		5	10	oskill	Warp	1	1	move1		3	5	all-stats		10	15	swing1		6	10									0
Doom	Doom	1				axe	pole	club	hamm	mace					HelOhmUmLoCham	r15	r27	r22	r28	r32		dmg%		280	320	aura	Holy Freeze	12	12	swing2		45	45	noheal		1	1	pierce-cold		40	60	allskills		2	2	hit-skill	Volcano	5	18	0
Dragon	Dragon	1				armo	shld								SurLoSol	r29	r28	r12				gethit-skill	Venom	20	18	hit-skill	Hydra	12	15	ac		360	360	ac-miss		230	230	str/lvl	3			all-stats		3	5	aura	Holy Fire	14	14	0
Dread	Dread	1				tors									DolElIth	r14	r01	r06				ac%		100	125	hit-skill	Charged Bolt	13	13	move2		20	20	heal-kill		6	8	levelreq		1	1	str/lvl	4			dex/lvl	4			0
Dream	Dream	1				helm	shld								IoJahPul	r16	r31	r21				gethit-skill	Confuse	10	15	aura	Holy Shock	15	15	balance2		20	30	ac		150	220	mana/lvl	5			res-all		5	20	mag%		15	25	0
Duress	Duress	1				tors									ShaelUmThul	r13	r22	r10				balance2		20	20	dmg%		10	20	dmg-cold	75	37	133	crush		15	15	openwounds		33	33	ac%		150	200					0
Edge	Edge	1				miss									TirTalAmn	r03	r07	r11				aura	Thorns	15	15	swing2		35	35	dmg-demon		320	380	dmg-undead		280	280	noheal		1	1	cheap		15	15	all-stats		8	9	0
Elation	Elation	1				abow									ShaelNefChamThulVex	r13	r04	r32	r10	r26		dmg-min		40	75	dmg/lvl	18			hit-skill	Nova	100	8	noheal		1	1	death-skill	Nova	100	60	extra-cold		20	25	extra-fire		20	25	0
Enigma	Enigma	1				tors									JahIthBer	r31	r06	r30				ac		750	775	heal-kill		14	14	move2		45	45	str/lvl	6			allskills		2	2	mag%/lvl	8			oskill	Teleport	1	1	0
