skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auraevent4	auraeventfunc4	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	requirespettype	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	requiresweapon	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	periodicClearAura	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	calc7	*calc7desc	calc8	*calc8desc	calc9	*calc9desc	calc10	*calc10desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	Param13	*Param13Description	Param14	*Param14Description	Param15	*Param15Description	Param16	*Param16Description	Param17	*Param17Description	Param18	*Param18Description	Param19	*Param19Description	Param20	*Param20Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Attack	0		attack	1	1																																																																																																										1	1																			0		both			weap			tpot							A1	A1	A1				1		1	1								1															1									1						1	1					0	8	0	0	1	1					1	0	1																																																																1								8	128																																				0	0
Kick	1		kick	2	2																																																																																																										0	0																			0		h2h	4												KK	KK	xx						1	1							1																1									1						0	0					0	8	0	0		1																																																																							1							1	8																																					0	0
Throw	2		throw	65	3																																																																																																										2	2																			0		rng			thro										TH	TH	xx				1																										1															1	1					0	8	0	0	1	1																																																																							1								8	128																																				0	0
Unsummon	3		unsummon	3	4																																																																																											1	necromancer_unsummon														3	0																			0		rng													SC	SC	xx						1						1																		1									1						0	1					0	8	0	0	1	1																																																																							1								8																																					0	0
Left Hand Throw	4		left hand throw	65	5																																																																																																										2	2																			0		rng	1		thro										S4	S4	xx			1	1																										1															1	1					0	8	0	0	1	1																																																																							1								8																																					0	0
Left Hand Swing	5		left hand swing	1	1																																																																																																										4	1																			0		both	1		weap			tpot							S3	S3	S3			1	1		1	1																							1															0	0					0	8	0	0	1	1					1	0	1																																																																1								8																																					0	0
Magic Arrow	6	ama	magic arrow		8													magicarrow	magicarrow																																																																																													17						magicarrow	magicarrow											1	0	1	rng			miss										A1	A1	xx				1													1			1										1	25														1	1				1	1	8	1	0	1	1											par1+blvl/par2	Projectile Count	par3	Missile Activation Frame	2	# of missiles that can trigger item modifier events															1	Base Missile Count	3	Base Levels Per Additional	1	Missile Activation Frame									10	Damage synergy																									1	10	9						8	128	1	1	1	1	1	1	1	1	1	1	1	1		mag	1	2	3	5	22	36	3	2	3	6	24	38	(skill('Strafe'.blvl))*par8								50	1000	0
Fire Arrow	7	ama	fire arrow	4	8													firearrow	firearrow																																																																																												11	17						firearrow	firearrow											1	0		rng			miss										A1	A1	xx				1													1			1										1	25														1	1				1	1	5	20	3	1	1											par1+blvl/par2	Projectile Count	par3	Missile Activation Frame	2	# of missiles that can trigger item modifier events															1	Base Missile Count	3	Base Levels Per Additional	1	Missile Activation Frame									9	Damage synergy																									1	10	9						8	128														fire	2	3	4	7	24	40	5	3	4	8	28	42	(skill('Exploding Arrow'.blvl)+skill('Meteoric Arrow'.blvl))*par8								50	1000	0
Inner Sight	8	ama	inner sight		6																		34179		innersight	ln34	ln56	armorclass	-edmn	damageresist	clc1																																																																		amazon_eyeofzeus											cast_innersight																						1	3		none													SC	SC	xx					4															1							amazon_eyeofzeus	cast_innersight		1	25														0	1				1	1	7	10	0	1	1											0-(5+lvl)	PDR Reduction																			40	Armor Reduction baseline	25	Armor Reduction per level	200	Duration baseline	100	Duration per level	27	Radius baseline	0	Radius per level																													1								8																40	25	45	60	80	100															50	1000	0
Critical Strike	9	ama	critical strike																																													criticalstrike			passive_critical_strike	((lvl<25)?(par1+lvl):(par4+lvl/par3))*(blvl*par2+100)/100																																																																														1	4		rng			spea	miss	jave										xx				1																										1	25														0	0					0	8	0	0	1	1								1																							5	Base %	2	Base Point % Multiplier	2	Soft Point Growth Divisor Past 25	18	DR Equalizer (3div=22,2div=18)																																	1								8																																				50	1000	0
Jab	10	ama	jab	5	7																																																																																													amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																		1	3		h2h			spea	jave									SQ	A1	xx	1		1	1		1	1								1		1													1	25														1	1				1	1	6	8	1		1											ln34+(skill('Impale'.blvl)+skill('Fend'.blvl))*par6	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)																	10	Damage % baseline	8	Damage % per level			10	Damage Synergy																													1	20	15						8	128	1	1	2	3	6	8	2	1	2	3	6	8	(skill('Impale'.blvl)+skill('Fend'.blvl))*par6																						50	1000	0
