Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	*eol
Gold			1					4	"gld,mul=1024"	1																									0
Gold 1.5x			1					4	"gld,mul=1536"	1																									0
Gold 2x			1					4	"gld,mul=2048"	1																									0
Gold 2.5x			1					4	"gld,mul=2560"	1																									0
Conversion Orb			1					0	1oc	1	1oa	1																						1	0
Socket Orb			1					128	1os	1																								1	0
Corruption Orb			1					98	1ka	1																								1	0
Shadow Orb			1					800	1oe	1																								1	0
Jewelry A			1					10	rin	160	amu	80	jew	40	cm3	40	cm2	40	cm1	40	1oi	8	Conversion Orb	4											0
Jewelry B			1					10	rin	160	amu	80	jew	40	cm3	40	cm2	40	cm1	40	1oi	8	Conversion Orb	4											0
Jewelry C			1					10	rin	160	amu	80	jew	40	cm3	40	cm2	40	cm1	40	1oi	8	Conversion Orb	4											0
Chipped Gem			0					0	gcv	3	gcy	3	gcb	3	gcg	3	gcr	3	gcw	3	skc	2													0
Flawed Gem			0					0	gfv	3	gfy	3	gfb	3	gfg	3	gfr	3	gfw	3	skf	2													0
Normal Gem			0					0	gsv	3	gsy	3	gsb	3	gsg	3	gsr	3	gsw	3	sku	2													0
Flawless Gem			0					0	gzv	3	gly	3	glb	3	glg	3	glr	3	glw	3	skl	2													0
Perfect Gem			0					0	gpv	3	gpy	3	gpb	3	gpg	3	gpr	3	gpw	3	skz	2													0
Gem			1					0	gmm	3	gmt	3	gms	3	gme	3	gmd	3	gmr	3	gmk	3													0
Gem Stack			0					0	1am	3	1tp	3	1sa	3	1em	3	1di	3	1rb	3	1sk	3													0
Ammo			1					0	aqv	0	cqv	0																							0
Misc 0			1					10	key	0	tsc	3	isc	3	opl	2	gpl	2																	0
Misc 1			1					10	key	0	tsc	3	isc	3	opm	0	gpm	0																	0
Misc 2			1					10	key	0	tsc	3	isc	3	ops	0	gps	0																	0
Hpotion 1			1					10	hp1	8	hp2	3	mp1	3	mp2	2	rvs	1																	0
Hpotion 2			1					10	hp1	1	hp2	4	hp3	3	mp2	2	mp3	2	rvs	1															0
Hpotion 3			1					10	hp2	1	hp3	4	hp4	3	mp3	2	mp4	2	rvs	1															0
Hpotion 4			1					10	hp3	1	hp4	4	hp5	3	mp4	2	mp5	2	rvs	1															0
Hpotion 5			1					10	hp3	1	hp4	4	hp5	4	mp5	4	rvs	1																	0
Hpotion 6			1					10	hp4	4	hp5	6	mp4	2	mp5	4	rvs	1																	0
Potion 1			1					10	hp1	12	hp2	4	mp1	5	mp2	4	rvs	1	vps	0															0
Potion 2			1					10	hp1	4	hp2	8	hp3	5	mp2	2	mp3	5	rvs	1	vps	0	yps	0	wms	0									0
Potion 3			1					10	hp2	6	hp3	6	hp4	4	mp3	3	mp4	3	rvs	1	vps	0	yps	0	wms	0									0
Potion 4			1					10	hp3	6	hp4	6	hp5	4	mp4	3	mp5	3	rvs	1	vps	0	yps	0	wms	0									0
Potion 5			1					10	hp3	4	hp4	6	hp5	6	mp5	5	rvs	1	vps	0	yps	0	wms	0											0
Potion 6			1					10	hp5	14	mp5	6	rvs	1	vps	0	yps	0	wms	0															0
Runes 1			1					0	s01	3	s02	2																							0
Runes 2			1					0	s03	3	s04	2	Runes 1	2																					0
Runes 3			1					0	s05	3	s06	2	Runes 2	5																					0
Runes 4			1					0	s07	3	s08	2	Runes 3	7																					0
Runes 5			1					0	s09	3	s10	2	Runes 4	12																					0
Runes 6			1					0	s11	3	s12	2	Runes 5	25																					0
Runes 7			1					0	s13	3	s14	2	Runes 6	50																					0
Runes 8			1					0	s15	3	s16	2	Runes 7	70																					0
Runes 9			1					0	s17	3	s18	2	Runes 8	90																					0
Runes 10			1					0	s19	3	s20	2	Runes 9	110																					0
Runes 11			1					0	s21	3	s22	2	Runes 10	130																					0
Runes 12			1					0	s23	3	s24	2	Runes 11	150																					0
Runes 13			1					0	s25	3	s26	2	Runes 12	170																					0
Runes 14			1					0	s27	3	s28	2	Runes 13	190																					0
Runes 15			1					0	s29	3	s30	2	Runes 14	210																					0
Runes 16			1					0	s31	3	s32	2	Runes 15	230																					0
Runes 17			1					0	s33	1	Runes 16	250																							0
Act 1 Junk			1					2	Potion 1	8	Misc 0	4	Ammo	0																					0
Act 2 Junk			1					2	Act 1 Junk	2	Potion 2	8	Misc 0	0	Ammo	0																			0
Act 3 Junk			1					2	Act 2 Junk	2	Potion 3	8	Misc 1	4	Ammo	0																			0
